Name,Title,Rating,Comment
Vraj,"







  
  
    A complete package.
  
",5.0 out of 5 stars,"







  
  
    A complete package of simplicity and depth of cosmos. One can refer this in the beginning stage of cosmos learning.
  
"
Reela Mala,"







  
  
    Nice one...!
  
",5.0 out of 5 stars,"







  
  
    Amazing book.....must read once in life...!
  
"
Chaitanya Dasewar,"







  
  
    Curiosity
  
",5.0 out of 5 stars,"







  
  
    The pape quality of the book is absolutely very good....Its an awesome book for the readers who are curious to know about formation of universe....
  
"
Shubham Salunke,"







  
  
    Curiosity can be a very good companion
  
",5.0 out of 5 stars,"







  
  
    It has great insights and can be astonishingly amusing. It explains the very basic of the universe with simplicity and just rips it apart in doing so. It is guide for understanding the universe better, if you the curiosity to know it.
  
"
Amazon Customer,"







  
  
    Good
  
",4.0 out of 5 stars,"







  
  
    Little difficult to follow unless you known little about the subject
  
"
Raghav Bhalaik,"







  
  
    Must read.
  
",5.0 out of 5 stars,"







  
  
    It's a vetting document for ones sense of wonder. For me who has an above average probability of an apple hitting my head but who's job is to keep apples from falling from trees the book was fairly simple to read. One must read it , worst case scenario you will end up reading it more than once .
  
"
RC mam,"







  
  
    Super
  
",5.0 out of 5 stars,"







  
  
    Must buy& read for science lovers
  
"
Devil,"







  
  
    TIME
  
",5.0 out of 5 stars,"







  
  
    It was more than my expectations. Actually we are nobody to write review about THE STEPHEN HAWKING book. Well, everything is in detail and easy to understand
  
"
Amazon Customer,"







  
  
    Good book
  
",5.0 out of 5 stars,"







  
  
    This book is changed anyone's thinking...if you're a physics or maths student and you r curious then you must read.... Not too expensive so...
  
"
Kiran M.R,"







  
  
    Good Quality Book
  
",5.0 out of 5 stars,"







  
  
    I am A Hawking fan, I appreciate Amazon for including books like at low cost.
  
"
ashi,"







  
  
    Every should should read it
  
",5.0 out of 5 stars,"







  
  
    My daughter love it....
  
"
Dileep,"







  
  
    Good
  
",5.0 out of 5 stars,"







  
  
    Good
  
"
Amazon Customer,"







  
  
    Good
  
",5.0 out of 5 stars,"







  
  
    Good
  
"
Mickey,"







  
  
    Good
  
",5.0 out of 5 stars,"







  
  
    Paper quality is not good. But matter is awesome
  
"
Gaurav Gohil,"







  
  
    Space tour from home Planet to deep inside the Cosmos.
  
",5.0 out of 5 stars,"







  
  
    A space tour from home Planet to deep inside the Cosmos, u will amaze after reading this book. By a brilliant scientist Stephen Hawking.
  
"
Amazon Customer,"







  
  
    worth reading
  
",5.0 out of 5 stars,"







  
  
    Very good book
  
"
Komal Chauhan,"







  
  
    Got the book on time
  
",5.0 out of 5 stars,"







  
  
    Got the book in its best position
  
"
Siddharth S,"







  
  
    Quick delivery, good overall quality but shitty bookmark
  
",5.0 out of 5 stars,"







  
  
    Happy with the quick delivery. Only irritating thing is the free bookmark. A Chetan Bhagat book promotion for a Stephen Hawking book is in bad taste! No bookmark would have been better.
  
"
sophia,"







  
  
    Awesome book for science lovers
  
",5.0 out of 5 stars,"







  
  
    This book is really awesome. Everything is explained so well. My perception about universe has entirely changed after reading this book.
  
"
CHOLESWAR SA,"







  
  
    Best book for space science lovers
  
",5.0 out of 5 stars,"







  
  
    I read it. It's a master piece from Stephen hawking. There are many things to learn. I recommend it. Read it at least once.
  
"
Dipakshi Sarma,"







  
  
    It is the best book on astronomy....
  
",5.0 out of 5 stars,"







  
  
    It's really a very wonderful book..It helped me clear my basic concepts and also i learned a lot more things from it on space , time , etc. Its a good book and a perfect one for those curious minds .... Loved it. ..
  
"
Moumita Chakraborty,"







  
  
    Book of knowledge
  
",5.0 out of 5 stars,"







  
  
    I liked this book very much. It gave me  the knowledge about my favourite topic time and space. It contains very usefull information.
  
"
Sourav D.,"







  
  
    Roam into his amazing mind.
  
",5.0 out of 5 stars,"







  
  
    I'm very upset that I couldn't read this while he was alive but. The pages are very good quality... And smells really good... I'm thinking of buying another one from Amazon paperback..
  
"
Wajid Mulla,"







  
  
    E mc saquare
  
",5.0 out of 5 stars,"







  
  
    E mc 2
  
"
A.D.Potter,"







  
  
    Nice
  
",4.0 out of 5 stars,"







  
  
    5 stars are for the books writing... But 4 stars for it's page quality which is not yet well as expected... Anyway it's fine....
  
"
NAUTILUS,"







  
  
    good
  
",4.0 out of 5 stars,"







  
  
    good
  
"
Vikash Ranjan,"







  
  
    Jargon free
  
",5.0 out of 5 stars,"







  
  
    Very interesting broaden my understanding
  
"
Shaw,"







  
  
    Great book
  
",5.0 out of 5 stars,"







  
  
    On time delivery. Thanks Amazon.About the book:Well, this book does not need a review. It's indeed a great book.The print quality is decent (readable) but could have been better.
  
"
Naaz,"







  
  
    Good
  
",5.0 out of 5 stars,"







  
  
    Good
  
"
Jp,"







  
  
    Recap of science ...
  
",5.0 out of 5 stars,"







  
  
    This is a very informative book about science and it’s different theories. I like the hidden humours the author had expressed to explain difficult ideas. I simply loved it.
  
"
Anurag verma,"







  
  
    Nice
  
",5.0 out of 5 stars,"







  
  
    Nic 1
  
"
Amazon Customer,"







  
  
    Satisfied
  
",5.0 out of 5 stars,"







  
  
    The book is as expected of Stephen Hawking. Product came on time. Satisfied.
  
"
Swarnendu Chakraborty,"







  
  
    Careful from having insomnia
  
",5.0 out of 5 stars,"







  
  
    If you are a teenager and have interest in science, you will obviously have insomnia after thoroughly going through this book. Believe me.
  
"
Archana Bhattacharya,"







  
  
    Very good
  
",5.0 out of 5 stars,"







  
  
    Nice
  
"
KS,"







  
  
    Very good
  
",5.0 out of 5 stars,"







  
  
    Very good
  
"
mayur,"







  
  
    very good
  
",4.0 out of 5 stars,"







  
  
    very good book for beginners. very easy to understand .
  
"
Rahul khan,"







  
  
    Excellent
  
",5.0 out of 5 stars,"







  
  
    Must read, anyone can experience his universe
  
"
vaibhav r.,"







  
  
    Amazing book clears the doubts
  
",5.0 out of 5 stars,"







  
  
    Its one of the most amazing books 11th and 12th students can gain extrem knowledge from it .. trust me it will clear your all doubts
  
"
Towsif,"







  
  
    Best book to know the universe
  
",5.0 out of 5 stars,"







  
  
    A legendary book from late Sir Stephens Hawkins, described clearly the relation between time and space.
  
"
Jayanta Paul,"







  
  
    Bad products
  
",1.0 out of 5 stars,"







  
  
    Because book is old, Amazon give me a old book, bad 😧 product. But book is very good, and awesome. Obviously You red this book.
  
"
Md Marghoob Inam Naghmi,"







  
  
    Best buy. I recommend it to every one
  
",5.0 out of 5 stars,"







  
  
    Best buy.I recommend it to every one.Purchase it without wasting your time.
  
"
RAY,"







  
  
    Must read
  
",5.0 out of 5 stars,"







  
  
    One of my favorite book. No damage. Genuine product. Delivery on time. Thanks Amazon.
  
"
Anilitty,"







  
  
    First book I read on kindle and I loved it.
  
",5.0 out of 5 stars,"







  
  
    Must read. First book I read on kindle and I loved it.
  
"
MNR,"







  
  
    Good
  
",5.0 out of 5 stars,"







  
  
    Good
  
"
Partha Sadhak,"







  
  
    Must read
  
",5.0 out of 5 stars,"







  
  
    Paperback quality is very good
  
"
Abul hasan,"







  
  
    Book worth reading
  
",5.0 out of 5 stars,"







  
  
    Got the package in good shape im happy and the book is totally awesome it's one of those books with reading 😍😍
  
"
Amazon Customer,"







  
  
    Exellent Book
  
",5.0 out of 5 stars,"







  
  
    I can promise u this book is at lowest price here in amazon. I have looked everywhere but not a single place with less price. Dont worry, only if u read this book ,u'll know that it's actually very cheap. .  & great book by the way.
  
"
Girdhari Agrawal,"







  
  
    Time!
  
",5.0 out of 5 stars,"







  
  
    Well the book quality i received was good.It was a new packed one.
  
"
Biswajit N.,"







  
  
    Great book.
  
",5.0 out of 5 stars,"







  
  
    Great book of S.Hawking... It took a week to complete the whole book... #AddictiveYou can also read his good book like 'universe in a nutshell'
  
"
REVATHY,"







  
  
    A delightful read
  
",5.0 out of 5 stars,"







  
  
    Definitely a book that I'd recommend everyone to read :)
  
"
ARJUN,"







  
  
    It became a bestseller and sold more than 10 million copies in 20 years.
  
",5.0 out of 5 stars,"







  
  
    Written for everyone...Very less number of equations can be seen..
  
"
bvuti nayak,"







  
  
    Paper cover ,light wt goodone
  
",5.0 out of 5 stars,"







  
  
    Value of money
  
"
Asif Dange,"







  
  
    PRINT NOT OK
  
",3.0 out of 5 stars,"







  
  
    product is not ok...as it has print which reflect on other pages....guyz...switch this product...check another edition.
  
"
Kiran ,"







  
  
    Good
  
",5.0 out of 5 stars,"







  
  
    Interesting book!!!
  
"
"Anuvab,the bookish","







  
  
    Good book
  
",5.0 out of 5 stars,"







  
  
    After all it's written by Stephen Hawkins
  
"
Riyaz ahmad wan,"







  
  
    Four Stars
  
",4.0 out of 5 stars,"







  
  
    The book is very good but quality of paper is not so good , worth for this price
  
"
C Rajani Kumar,"







  
  
    Great book. (Soft copy available online)
  
",5.0 out of 5 stars,"







  
  
    Great book.  (Soft copy available online).
  
"
Adarsh pandey,"







  
  
    Valuable product
  
",5.0 out of 5 stars,"







  
  
    Nice quality
  
"
Kumar,"







  
  
    Kumar
  
",5.0 out of 5 stars,"







  
  
    👌
  
"
Moorthy N,"







  
  
    Ok
  
",3.0 out of 5 stars,"







  
  
    Ok
  
"
Charandeep Singh,"







  
  
    Amazing!
  
",5.0 out of 5 stars,"







  
  
    A great insight from a great scientist.
  
"
Asfiya,"







  
  
    BEST PHYSICS BOOK AND A MUST READ
  
",5.0 out of 5 stars,"







  
  
    ONE OF THE BEST PHYSICS BOOK THAT I HAVE EVER READ. IT CHANGES THE WAY SEE THE WORLD. IT TOTALLY CHANGED MY VIEWS TOO.
  
"
M. Mahajan,"







  
  
    Five Stars
  
",5.0 out of 5 stars,"







  
  
    Do buy this book if you are very interested in knowing world beyond earth.
  
"
Kasturi Abhay,"







  
  
    Physics made easy
  
",3.0 out of 5 stars,"







  
  
    Good book to know  physics basics without mathematics and chapters are very easier to understand.The quality  is good
  
"
Animesh M.,"







  
  
    Good
  
",5.0 out of 5 stars,"







  
  
    Good
  
"
Dev,"







  
  
    Five Stars
  
",5.0 out of 5 stars,"







  
  
    As difficult to understand as the Shrodinger equation or the Heisenberg’s Uncertainty Principle
  
"
Amazon Customer,"







  
  
    Great book
  
",5.0 out of 5 stars,"







  
  
    Scientist the great
  
"
Raghavendra Raju A V,"







  
  
    Must read
  
",5.0 out of 5 stars,"







  
  
    Good book
  
"
Abhijit Asati,"







  
  
    Best Book ever
  
",5.0 out of 5 stars,"







  
  
    The best book ever in my life
  
"
Akash Khansul,"







  
  
    great
  
",5.0 out of 5 stars,"







  
  
    everyone should read
  
"
Amit,"







  
  
    Great book
  
",5.0 out of 5 stars,"







  
  
    Big fan of Stephen Hawking
  
"
Aniket Mahajan,"







  
  
    Concept of Time and Space
  
",5.0 out of 5 stars,"







  
  
    Awesome book by wonderful scientist.......Changed concept about time....Detailed description about universe....
  
"
Dip,"







  
  
    One Star
  
",1.0 out of 5 stars,"







  
  
    Bad page and picture quality as well as printing mistakes...
  
"
PG M,"







  
  
    A classic, easy read
  
",5.0 out of 5 stars,"







  
  
    A classic, easy read,
  
"
Sheikh m.,"







  
  
    Mind-blowing book😍
  
",5.0 out of 5 stars,"







  
  
    Awsm book for people who are curious to know about universe...Awsm work Stephen hawking...
  
"
Smit Kolhe,"







  
  
    Brief History summarises complete research to describe thr Universe.
  
",5.0 out of 5 stars,"







  
  
    Brief History summarises complete research to describe the Universe. Worth reading for the beginers to set context of knowledge that was not studied in school.
  
"
Vimal Kumar V,"







  
  
    Great read
  
",5.0 out of 5 stars,"







  
  
    Great read
  
"
Tanay Sharma,"







  
  
    Nice Book.....!!!
  
",5.0 out of 5 stars,"







  
  
    I m a big fan of stephen hawking.....when i watced the movie thwory of everything......The cover was same as it was in the movie....Nice theory.. U will understand it only if you like physics and all the natural things happening around us.......
  
"
Amit,"







  
  
    Justify the purpose of Book. Open door for general public to understand Physics. Post Newton era.
  
",5.0 out of 5 stars,"







  
  
    Great Book. Physics is simplified in such a easy Language which open door for normal folk to understand it. It justify the purpose of book.
  
"
SAMIR,"







  
  
    Four Stars
  
",4.0 out of 5 stars,"







  
  
    very good
  
"
M.C.P.,"







  
  
    Five Stars
  
",5.0 out of 5 stars,"







  
  
    great book
  
"
Kaustubh Mishra,"







  
  
    Unreadable print quality
  
",1.0 out of 5 stars,"







  
  
    Print quality for paperback was too bad . Hard cover is not affordable. Opted for kindle edition.
  
"
A. Fernandes,"







  
  
    poor quality not original print
  
",3.0 out of 5 stars,"







  
  
    Not a good print. the book looks like a pirated version poor quality paper and finshing.
  
"
Jithendra,"







  
  
    Good quality
  
",5.0 out of 5 stars,"







  
  
    Nice book..
  
"
Monish Mohan,"







  
  
    Wow
  
",5.0 out of 5 stars,"







  
  
    Detailed description about cosmology. Really interesting one.
  
"
Kindle Customer,"







  
  
    A Scintific Spiritual Discourse
  
",5.0 out of 5 stars,"







  
  
    The is laden with scientific data and theories. But more I read it, more spiritual it seemed to be. A great intellectual work .
  
"
Shreyansh Srivastava,"







  
  
    The Best Popular Science Book I have hitherto read
  
",5.0 out of 5 stars,"







  
  
    The best popular science book I have read uptill now. The paper quality was excellent given the book cost me only 150 rupees.
  
"
Ritik Bisht,"







  
  
    Perfect
  
",5.0 out of 5 stars,"







  
  
    Its so good that i didn't opened it once
  
"
Amazon Customer,"







  
  
    Typical Stephen Hawking book!!
  
",4.0 out of 5 stars,"







  
  
    I wish I read this book 10yrs before....
  
"
Dinakar,"







  
  
    Stephan Hawking!! The Genius!!
  
",5.0 out of 5 stars,"







  
  
    The basics are getting cleared, wondering what did I do in school. Not capable of commenting on the book written by Stephan!! Am mere a knowledge seeker.
  
"
RM Singh,"







  
  
    Good
  
",2.0 out of 5 stars,"







  
  
    it is an exhaustive book.buy it only if u are really interested in time and physics.
  
"
Ankit Kumar,"







  
  
    Must buy it.
  
",5.0 out of 5 stars,"







  
  
    Good
  
"
Tamojit Das,"







  
  
    Best Book
  
",5.0 out of 5 stars,"







  
  
    Best book of the year.
  
"
R.K.Jacob,"







  
  
    Five Stars
  
",5.0 out of 5 stars,"







  
  
    Challenging..
  
"
Mohamed  Arshad,"







  
  
    Wonderful Book Everyone Must Read This Book
  
",5.0 out of 5 stars,"







  
  
    Wonderful BookEveryone Must Read This Book
  
"
Nagendra vara prasad,"







  
  
    Good
  
",3.0 out of 5 stars,"







  
  
    Good
  
"
Manish Pawar,"







  
  
    Good
  
",4.0 out of 5 stars,"







  
  
    Good
  
"
shashank,"







  
  
    fine
  
",2.0 out of 5 stars,"







  
  
    fine.
  
"
Lohith,"







  
  
    Its awesome
  
",4.0 out of 5 stars,"







  
  
    This book tells us about the past things done by scientists and people on their period
  
"
SUMIT SAMANTA,"







  
  
    Good
  
",5.0 out of 5 stars,"







  
  
    Good
  
"
Swati,"







  
  
    Five Stars
  
",5.0 out of 5 stars,"







  
  
    Awesome book
  
"
sanjay,"







  
  
    Made Simple, not easy!!!
  
",4.0 out of 5 stars,"







  
  
    good revision for me as a physics student.
  
"
sujoy manna,"







  
  
    Frod
  
",1.0 out of 5 stars,"







  
  
    I ordered this book with another book, but it doesn't come in the packet. worst thing ever!
  
"
A K SEN,"







  
  
    Five Stars
  
",5.0 out of 5 stars,"







  
  
    Entirely satisfied
  
"
arpit singh patel,"







  
  
    One Star
  
",1.0 out of 5 stars,"







  
  
    Page 14-46 are missing  don't buy
  
"
sonu chauhan,"







  
  
    I thought i knew alot about the universe since i followed astronomy a lot.
  
",5.0 out of 5 stars,"







  
  
    But after reading it, now i feel i knew nothing, i was only scratching the surface.A must read for curious being.
  
"
raveendranath ek,"







  
  
    Four Stars
  
",4.0 out of 5 stars,"







  
  
    No comparision
  
"
Shashank  Shahi,"







  
  
    Good product
  
",5.0 out of 5 stars,"







  
  
    Good product
  
"
Amazon Customer,"







  
  
    Costly
  
",3.0 out of 5 stars,"







  
  
    Costly
  
"
Amazon Customer,"







  
  
    Best book on Quantum physics
  
",4.0 out of 5 stars,"







  
  
    Really good book everyone must read,This is one of the best selling for reason.
  
"
Makwana Krunal,"







  
  
    Good book for hawking's lover
  
",5.0 out of 5 stars,"







  
  
    Awesome book.. This book is written in simple so that everyone understand about in this book..
  
"
Usm,"







  
  
    Good
  
",4.0 out of 5 stars,"







  
  
    Very nice
  
"
Manoj,"







  
  
    A nice book
  
",5.0 out of 5 stars,"







  
  
    Stephen Hawking was very intelligent and his book are nice and readable.🐻👍👍I will read more books.  Great scientist.BEST SCIENTIST EVER.
  
"
Pradeep Purushothaman,"







  
  
    Good book
  
",5.0 out of 5 stars,"







  
  
    Good book
  
"
Goutam Ghosh,"







  
  
    Good for every science students
  
",5.0 out of 5 stars,"







  
  
    Science students must read this book.
  
"
Prakhar Verma,"







  
  
    Great book
  
",5.0 out of 5 stars,"







  
  
     👌
  
"
Vivek,"







  
  
    Awesome book
  
",5.0 out of 5 stars,"







  
  
    Book is written in very simple language.A  person having no idea about space can also understand it.
  
"
Love Reading,"







  
  
    Paper Quality isbad
  
",3.0 out of 5 stars,"







  
  
    Such as amazing book the paper quality is bad , some pictures and specifications you ant read .  Pathetic printing
  
"
Lakshmi,"







  
  
    Liked
  
",5.0 out of 5 stars,"







  
  
    Good pages and good price
  
"
Vallabh,"







  
  
    Nice book
  
",4.0 out of 5 stars,"







  
  
    Nice book
  
"
Abhilash M Joseph,"







  
  
    Four Stars
  
",4.0 out of 5 stars,"







  
  
    nice one
  
"
sanjeev kr snehi,"







  
  
    Good One !
  
",5.0 out of 5 stars,"







  
  
    Good One !
  
"
Dimebag,"







  
  
    Stephen Hawking at his best !
  
",5.0 out of 5 stars,"







  
  
    Great book for a layman, splendidly written classic masterpiece in popular science. A good read overall.
  
"
Prashanth Chikkabanasavadi Ramegowda,"







  
  
    Fair quality
  
",3.0 out of 5 stars,"







  
  
    Nice book and low quality of paper and cover for low price
  
"
Gajanan,"







  
  
    Print quality so so
  
",3.0 out of 5 stars,"







  
  
    Print quality so so
  
"
Sooraj krishnan,"







  
  
    Good
  
",5.0 out of 5 stars,"







  
  
    Nice one
  
"
Swejyoti Mitra,"







  
  
    Amazing book..
  
",5.0 out of 5 stars,"







  
  
    Amazing..
  
"
Rajat Khanduri,"







  
  
    Read it
  
",5.0 out of 5 stars,"







  
  
    Nice
  
"
avinash phadke,"







  
  
    Four Stars
  
",4.0 out of 5 stars,"







  
  
    ok
  
"
Amazon Customer,"







  
  
    Good book
  
",4.0 out of 5 stars,"







  
  
    Good book
  
"
Mari ,"







  
  
    Simply good
  
",5.0 out of 5 stars,"







  
  
    Paper quality is not up to the mark, but considering the price , can't complain
  
"
shanib,"







  
  
    Loved it
  
",5.0 out of 5 stars,"







  
  
    I ever read such an amazing boo; this book is very helpful for science experts as well as beginners...Loved it very much
  
"
san,"







  
  
    Good
  
",5.0 out of 5 stars,"







  
  
    No
  
"
Manglam Tripathi,"







  
  
    Perfect
  
",5.0 out of 5 stars,"







  
  
    Good....got it at good rate....thanks amazon..waiting for it long time...
  
"
Siddhartha Sankar Das,"







  
  
    Teaches us to think in a different way.
  
",5.0 out of 5 stars,"







  
  
    Sums up all what we missed in our college.
  
"
Soumm w.,"







  
  
    A brief history of time
  
",3.0 out of 5 stars,"







  
  
    The book was not a new package but the old one . Please this should not happen again.
  
"
Amazon Customer,"







  
  
    descripancy
  
",3.0 out of 5 stars,"







  
  
    For such a small book, charging Rs.100/- as packing and forwarding was too much. should not have exceeded Rs. 40/-
  
"
Abhishek,"







  
  
    A ladder to black hole explanation.
  
",5.0 out of 5 stars,"







  
  
    I really liked this product. Awesome explation, but not for someone at the fresher level of physics.
  
"
Prashant,"







  
  
    Good book
  
",4.0 out of 5 stars,"







  
  
    Good book
  
"
Nabamita Dey,"







  
  
    Very helpful
  
",5.0 out of 5 stars,"







  
  
    A well written introduction by Carl Sagan
  
"
Aman jaiswal,"







  
  
    Nice book.
  
",5.0 out of 5 stars,"







  
  
    Good book for who love Science.
  
"
Mihir,"







  
  
    Timeless Classic
  
",5.0 out of 5 stars,"







  
  
    Lucid explaination of such an otherwise incomprehensible subject is truely amazing!
  
"
prince,"







  
  
    superb
  
",5.0 out of 5 stars,"







  
  
    very good book
  
"
Doraemon,"







  
  
    Best!!
  
",5.0 out of 5 stars,"







  
  
    One of the best book..
  
"
Amazon Customer,"







  
  
    Go for it!
  
",5.0 out of 5 stars,"







  
  
    Quality paperback book; exceptional content!
  
"
Balu kondaveeti,"







  
  
    Four Stars
  
",4.0 out of 5 stars,"







  
  
    Old edition book, slightly delicate
  
"
Aejaz Husain,"







  
  
    Bad quality
  
",1.0 out of 5 stars,"







  
  
    Very Bad quality paper and print. Don't feel like opening the book and read
  
"
KANTILAL K SHAH,"







  
  
    Five Stars
  
",5.0 out of 5 stars,"







  
  
    A must for students of physics
  
"
vithalkrishna,"







  
  
    Super
  
",5.0 out of 5 stars,"







  
  
    This book is readable book  for everybody beacause this is educated. I think this book is super.
  
"
Curly,"







  
  
    Original
  
",5.0 out of 5 stars,"







  
  
    Original peper back product
  
"
Nikita,"







  
  
    10 out of 5 stars. Great book for sure.
  
",5.0 out of 5 stars,"







  
  
    A great book for physics lovers..
  
"
Divya,"







  
  
    not good
  
",1.0 out of 5 stars,"







  
  
    packet size book....feeling vry bad....
  
"
Digvijay Koranga,"







  
  
    go fot it
  
",5.0 out of 5 stars,"







  
  
    just go for it
  
"
Amazon Customer,"







  
  
    The best book to.me
  
",5.0 out of 5 stars,"







  
  
    I disliked nothing and loved everything about your shipping arrangements.
  
"
Deepak jain,"







  
  
    Very nice
  
",5.0 out of 5 stars,"







  
  
    This book is must for those who have interest in space and its phenomenas.
  
"
waseequr rahman,"







  
  
    Five Stars
  
",5.0 out of 5 stars,"







  
  
    Mast book hai
  
"
Moses,"







  
  
    Excellent
  
",4.0 out of 5 stars,"







  
  
    A great learning of space.
  
"
Amazon Customer,"







  
  
    It is a great read and very informative even for a person without ...
  
",4.0 out of 5 stars,"







  
  
    It is a great read and very informative even for a person without in depth knowledge of science. But the quality of pages is a little poor.
  
"
Gurinder Singh,"







  
  
    Four Stars
  
",4.0 out of 5 stars,"







  
  
    Nice book. A little bit technical.  Only for those who are curious to know about galaxy, stars, planets, gravity.
  
"
Sanmoy Paul,"







  
  
    Necessity
  
",5.0 out of 5 stars,"







  
  
    For every student it is really a essential book.
  
"
Amazon Customer,"







  
  
    Really awesome
  
",5.0 out of 5 stars,"







  
  
    Written in an easy way...... That even small children can also read and understand
  
"
M v naidu,"







  
  
    Excellent
  
",5.0 out of 5 stars,"







  
  
    Received, what I expected
  
"
Amazon Customer,"







  
  
    A brief history by a great scientist
  
",5.0 out of 5 stars,"







  
  
    Read physics without derivations
  
"
Amazon Customer,"







  
  
    Five Stars
  
",5.0 out of 5 stars,"







  
  
    good
  
"
varalakshmi,"







  
  
    Very good book
  
",5.0 out of 5 stars,"







  
  
    Super book
  
"
Pankaj Verma,"







  
  
    Awesome book
  
",5.0 out of 5 stars,"







  
  
    I have no word for this book don't miss just go for it.
  
"
Roshan Gajmer,"







  
  
    Excellent book!
  
",5.0 out of 5 stars,"







  
  
    Excellent book. Gives an insight of the complexities of science through the eyes of a layman.
  
"
Anshul Aggarwal,"







  
  
    Must read
  
",5.0 out of 5 stars,"







  
  
    A brilliant book by a great author, a must read for science nerds. Gives great insights into the functioning of the universe. Highly recommended.Amazon service was great. Delivery was quick and packaging was good.
  
"
Jayant,"







  
  
    Good for stephens followers
  
",3.0 out of 5 stars,"







  
  
    Good book but bad paper quality
  
"
Junaid Bagdadi,"







  
  
    Brilliant
  
",5.0 out of 5 stars,"







  
  
    This book is made for curious readers and minds. This will change the way you see, know and think about everything around you.
  
"
Abhay,"







  
  
    should be read
  
",5.0 out of 5 stars,"







  
  
    Should be read
  
"
Guru,"







  
  
    Must buy
  
",4.0 out of 5 stars,"







  
  
    Awesome book. Must buy of you are interested in cosmology
  
"
Jithesh,"







  
  
    good
  
",5.0 out of 5 stars,"







  
  
    good
  
"
RAMALINGAM,"







  
  
    Good for all ages.
  
",4.0 out of 5 stars,"







  
  
    Great Book for all ages. Delivery is good with Amazon. Paper quality is not good.
  
"
Abhinav Gupta,"







  
  
    Science
  
",5.0 out of 5 stars,"







  
  
    It’s great and informative.Nice book easy to understandLove this book.Science is vast. Gr8 book Nice liked it a lot
  
"
Gaurav Kumar,"







  
  
    Five Stars
  
",5.0 out of 5 stars,"







  
  
    Nice for science person. But not good for non tech
  
"
Arnab Mallick,"







  
  
    A book worth reading
  
",5.0 out of 5 stars,"







  
  
    Good book by Stephen hawking. delivered in time and in good condition
  
"
Amazon Customer,"







  
  
    Book
  
",5.0 out of 5 stars,"







  
  
    Awesome book
  
"
Anurag soni,"







  
  
    Space and science fiction theory are awesome 🤩
  
",5.0 out of 5 stars,"







  
  
    Awesome book for those who love physics and space theory......
  
"
Shyam s.,"







  
  
    Good product
  
",5.0 out of 5 stars,"







  
  
    Paper quality is good and the content is easily understandable.
  
"
Singularity,"







  
  
    Extraordinary creation of an extraordinary mind
  
",5.0 out of 5 stars,"







  
  
    Compulsary for the Students mad at Cosmology/Astrophysics, must read.
  
"
Heathcliff,"







  
  
    Great
  
",5.0 out of 5 stars,"







  
  
    No need to review this book, just buy it. Its awesome. I couldn't stop reading it once I started.
  
"
sudharsan viswa,"







  
  
    Five Stars
  
",5.0 out of 5 stars,"







  
  
    Awesome book
  
"
Vasundhara sharma,"







  
  
    Good morning
  
",5.0 out of 5 stars,"







  
  
    Good
  
"
Rishabh Kumar,"







  
  
    So poor quality! Book pages were worst than a 20 ...
  
",1.0 out of 5 stars,"







  
  
    So poor quality!Book pages were worst than a 20 years old book.
  
"
Prashanth reddy,"







  
  
    good to read great experience
  
",5.0 out of 5 stars,"







  
  
    i was ammezing book
  
"
ARSU,"







  
  
    Amazing
  
",5.0 out of 5 stars,"







  
  
    It is a pretty good book with lots of images and knowledge Five stats!!!!
  
"
Vivek V,"







  
  
    Get it already
  
",5.0 out of 5 stars,"







  
  
    I always wanted this book and got it at last I am so happy.  As it's a revised edition is even more easy to understand .
  
"
Ayush,"







  
  
    Best book
  
",5.0 out of 5 stars,"







  
  
    This is a good and informative book. Arrived in Good condition.
  
"
Abhishek,"







  
  
    Loved that book...
  
",5.0 out of 5 stars,"







  
  
    faab book...i loved it...all concept are fabulous....good to have it.....''''''''
  
"
Utpal,"







  
  
    Useful science book
  
",4.0 out of 5 stars,"







  
  
    Very useful book.
  
"
Aditya,"







  
  
    Excellent
  
",5.0 out of 5 stars,"







  
  
    Bestest book of the world
  
"
vashu,"







  
  
    The book is awesome. The quotes for it are true and the ...
  
",5.0 out of 5 stars,"







  
  
    The book is awesome.The quotes for it are true and the best part of the book is the GLOSSARY it's a great help...
  
"
Soumendra Kar,"







  
  
    Excellent book.
  
",5.0 out of 5 stars,"







  
  
    If you think you have a long life then you must read this book.
  
"
Olivia,"







  
  
    Four Stars
  
",4.0 out of 5 stars,"







  
  
    Good book but I hate receiving books with folded cover or pages.
  
"
MANOJ M N,"







  
  
    Five Stars
  
",5.0 out of 5 stars,"







  
  
    great
  
"
Ceeyaar Sankar,"







  
  
    Three Stars
  
",3.0 out of 5 stars,"







  
  
    Good/
  
"
Sourav Anand ,"







  
  
    know the universe around you. 👍
  
",4.0 out of 5 stars,"







  
  
    its a good book.. it gives answer to most of your questions.. 👍
  
"
THE QUEST275,"







  
  
    Nice
  
",4.0 out of 5 stars,"







  
  
    Nice
  
"
Arun Kumar,"







  
  
    Excellent book and prompt delivery
  
",5.0 out of 5 stars,"







  
  
    Excellent stuff. Very useful for young minds. Amazon is reliable and punctual.
  
"
Jatin,"







  
  
    Briefing
  
",5.0 out of 5 stars,"







  
  
    This is good book if you are interested about universe.
  
"
Akansha Chowdhury,"







  
  
    Nice product
  
",4.0 out of 5 stars,"







  
  
    The book was delivered in a good condition, but no book mark was given along!
  
"
